/jaguar/Games J64/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Games/%5BJ64%5D/Atari%20Jaguar%20-%20Games%20-%20%5BJ64%5D%20%28TOSEC-v2024-01-15%29.zip/
/jaguar/Games ROM/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Games/%5BROM%5D/Atari%20Jaguar%20-%20Games%20-%20%5BROM%5D%20%28TOSEC-v2024-01-15%29.zip/
/jaguar/Demo [BIN]/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Demos/%5BBIN%5D/Atari%20Jaguar%20-%20Demos%20-%20%5BBIN%5D%20%28TOSEC-v2024-07-03%29.zip/
/jaguar/Demo [COF]/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Demos/%5BCOF%5D/Atari%20Jaguar%20-%20Demos%20-%20%5BCOF%5D%20%28TOSEC-v2018-07-01%29.zip/
/jaguar/Demo [J64]/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Demos/%5BJ64%5D/Atari%20Jaguar%20-%20Demos%20-%20%5BJ64%5D%20%28TOSEC-v2025-01-15%29.zip/
/jaguar/Demo [JAG]/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Demos/%5BJAG%5D/Atari%20Jaguar%20-%20Demos%20-%20%5BJAG%5D%20%28TOSEC-v2024-01-15%29.zip/
/jaguar/Demo [ROM]/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Demos/%5BROM%5D/Atari%20Jaguar%20-%20Demos%20-%20%5BROM%5D%20%28TOSEC-v2024-07-03%29.zip/
/jaguar/MAME/	mame_libretro jaguar -cart		https://archive.org/download/mame-sl/mame-sl/jaguar.zip/jaguar/
/jaguarcd/Redump/	bigpemu	cue	https://archive.org/download/atari-jaguarcd-redump/
/jaguarcd/NonRedump/	bigpemu	cdi	https://archive.org/download/non-redump_atari-jaguar-cd/
/lynx/NoIntro/	mednafen_lynx_libretro		https://archive.org/download/ni-roms/roms/Atari%20-%20Lynx%20%28LYX%29.zip/
/lynx/TOSEC/	mednafen_lynx_libretro		https://archive.org/download/tosec-main/Atari/Lynx/Compilations/Games/%5BLNX%5D/Atari%20Lynx%20-%20Compilations%20-%20Games%20-%20%5BLNX%5D%20%28TOSEC-v2022-06-08%29.zip/
/lynx/Demo [LNX]/	mednafen_lynx_libretro		https://archive.org/download/tosec-main/Atari/Lynx/Demos/%5BLNX%5D/Atari%20Lynx%20-%20Demos%20-%20%5BLNX%5D%20%28TOSEC-v2025-01-15%29.zip/
/lynx/Demo [Multipart]/	mednafen_lynx_libretro		https://archive.org/download/tosec-main/Atari/Lynx/Demos/%5BMultipart%5D/Atari%20Lynx%20-%20Demos%20-%20%5BMultipart%5D%20%28TOSEC-v2025-01-15%29.zip/
/lynx/MAME/	mame_libretro lynx -cart	bin	https://archive.org/download/mame-sl/mame-sl/lynx.zip/lynx/
/atari800/NoIntro/	atari800_libretro		https://archive.org/download/ni-roms/roms/Atari%20-%208-bit%20Family.zip/
/atari800/Games ATR/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Games/%5BATR%5D/Atari%208bit%20-%20Games%20-%20%5BATR%5D%20%28TOSEC-v2025-01-15%29.zip/
/atari800/Games XEX/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Games/%5BXEX%5D/Atari%208bit%20-%20Games%20-%20%5BXEX%5D%20%28TOSEC-v2025-01-15%29.zip/
/atari800/Games CAR/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Games/%5BCAR%5D/Atari%208bit%20-%20Games%20-%20%5BCAR%5D%20%28TOSEC-v2025-01-15%29.zip/
/atari800/Games ATX/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Games/%5BATX%5D/Atari%208bit%20-%20Games%20-%20%5BATX%5D%20%28TOSEC-v2022-06-12%29.zip/
/atari800/Games CAS/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Games/%5BCAS%5D/Atari%208bit%20-%20Games%20-%20%5BCAS%5D%20%28TOSEC-v2024-07-03%29.zip/
/atari800/Compilations/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Compilations/Games/%5BATR%5D/Atari%208bit%20-%20Compilations%20-%20Games%20-%20%5BATR%5D%20%28TOSEC-v2023-08-29%29.zip/
/atari800/Applications/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Applications/%5BATR%5D/Atari%208bit%20-%20Applications%20-%20%5BATR%5D%20%28TOSEC-v2024-07-03%29.zip/
/atari800/Educational/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Compilations/Educational/%5BATR%5D/Atari%208bit%20-%20Compilations%20-%20Educational%20-%20%5BATR%5D%20%28TOSEC-v2013-12-13%29.zip/
/atari800/Edu Comp [CAS]/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Compilations/Educational/%5BCAS%5D/Atari%208bit%20-%20Compilations%20-%20Educational%20-%20%5BCAS%5D%20%28TOSEC-v2012-07-18%29.zip/
/atari800/Demo Graphics/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Demos/Graphics/Atari%208bit%20-%20Demos%20-%20Graphics%20%28TOSEC-v2025-01-15%29.zip/
/atari800/Demo Music/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Demos/Music/Atari%208bit%20-%20Demos%20-%20Music%20%28TOSEC-v2025-01-15%29.zip/
/atari800/Demo [ATR]/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Demos/%5BATR%5D/Atari%208bit%20-%20Demos%20-%20%5BATR%5D%20%28TOSEC-v2025-01-15%29.zip/
/atari800/Demo [XEX]/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Demos/%5BXEX%5D/Atari%208bit%20-%20Demos%20-%20%5BXEX%5D%20%28TOSEC-v2025-01-15%29.zip/
/atari800/Edu [ATR]/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Educational/%5BATR%5D/Atari%208bit%20-%20Educational%20-%20%5BATR%5D%20%28TOSEC-v2022-06-12%29.zip/
/atari800/Edu [ATX]/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Educational/%5BATX%5D/Atari%208bit%20-%20Educational%20-%20%5BATX%5D%20%28TOSEC-v2021-12-10%29.zip/
/atari800/Edu [BAS]/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Educational/%5BBAS%5D/Atari%208bit%20-%20Educational%20-%20%5BBAS%5D%20%28TOSEC-v2022-06-12%29.zip/
/atari800/Edu [BIN]/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Educational/%5BBIN%5D/Atari%208bit%20-%20Educational%20-%20%5BBIN%5D%20%28TOSEC-v2022-06-12%29.zip/
/atari800/Edu [CAS]/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Educational/%5BCAS%5D/Atari%208bit%20-%20Educational%20-%20%5BCAS%5D%20%28TOSEC-v2021-12-10%29.zip/
/atari800/Edu [XEX]/	atari800_libretro		https://archive.org/download/tosec-main/Atari/8bit/Educational/%5BXEX%5D/Atari%208bit%20-%20Educational%20-%20%5BXEX%5D%20%28TOSEC-v2022-06-12%29.zip/
/atari800/MAME/	mame_libretro a800 -cart1		https://archive.org/download/mame-sl/mame-sl/a800.zip/a800/
/atari800/Flop MAME/	mame_libretro a800 -flop1		https://archive.org/download/mame-sl/mame-sl/a800_flop.zip/a800_flop/
/xegs/MAME/	mame_libretro xegs -cart		https://archive.org/download/mame-sl/mame-sl/xegs.zip/xegs/
/atarist/NoIntro/	hatari_libretro		https://archive.org/download/ni-roms/roms/Atari%20-%20ST.zip/
/atarist/Games ST/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Games/%5BST%5D/Atari%20ST%20-%20Games%20-%20%5BST%5D%20%28TOSEC-v2025-01-15%29.zip/
/atarist/Games STX/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Games/%5BSTX%5D/Atari%20ST%20-%20Games%20-%20%5BSTX%5D%20%28TOSEC-v2024-07-03%29.zip/
/atarist/Compilations/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Compilations/Games/%5BSTX%5D/Atari%20ST%20-%20Compilations%20-%20Games%20-%20%5BSTX%5D%20%28TOSEC-v2015-05-07%29.zip/
/atarist/Applications/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Applications/%5BIMG%5D/Atari%20ST%20-%20Applications%20-%20%5BIMG%5D%20%28TOSEC-v2023-06-14%29.zip/
/atarist/Educational/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Compilations/Educational/Atari%20ST%20-%20Compilations%20-%20Educational%20%28TOSEC-v2013-12-13%29.zip/
/atarist/Demo [Multipart]/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Demos/%5BMultipart%5D/Atari%20ST%20-%20Demos%20-%20%5BMultipart%5D%20%28TOSEC-v2024-07-03%29.zip/
/atarist/Demo [PRG]/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Demos/%5BPRG%5D/Atari%20ST%20-%20Demos%20-%20%5BPRG%5D%20%28TOSEC-v2025-01-15%29.zip/
/atarist/Demo [STX]/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Demos/%5BSTX%5D/Atari%20ST%20-%20Demos%20-%20%5BSTX%5D%20%28TOSEC-v2023-11-07%29.zip/
/atarist/Demo [ST]/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Demos/%5BST%5D/Atari%20ST%20-%20Demos%20-%20%5BST%5D%20%28TOSEC-v2025-01-15%29.zip/
/atarist/Demo [TOS]/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Demos/%5BTOS%5D/Atari%20ST%20-%20Demos%20-%20%5BTOS%5D%20%28TOSEC-v2025-01-15%29.zip/
/atarist/Edu [SCP]/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Educational/%5BSCP%5D/Atari%20ST%20-%20Educational%20-%20%5BSCP%5D%20%28TOSEC-v2023-11-07%29.zip/
/atarist/Edu [STT]/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Educational/%5BSTT%5D/Atari%20ST%20-%20Educational%20-%20%5BSTT%5D%20%28TOSEC-v2023-11-07%29.zip/
/atarist/Edu [STX]/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Educational/%5BSTX%5D/Atari%20ST%20-%20Educational%20-%20%5BSTX%5D%20%28TOSEC-v2023-11-07%29.zip/
/atarist/Edu [ST]/	hatari_libretro		https://archive.org/download/tosec-main/Atari/ST/Educational/%5BST%5D/Atari%20ST%20-%20Educational%20-%20%5BST%5D%20%28TOSEC-v2023-11-07%29.zip/
/atarist/MAME/	mame_libretro st -flop		https://archive.org/download/mame-sl/mame-sl/st_flop.zip/st_flop/
/apple1/TOSEC/	mame_libretro apple1 -cass		https://archive.org/download/tosec-main/Apple/1/Games/Apple%201%20-%20Games%20%28TOSEC-v2023-08-29%29.zip/
/apple1/App/	mame_libretro apple1 -cass		https://archive.org/download/tosec-main/Apple/1/Applications/Apple%201%20-%20Applications%20%28TOSEC-v2023-08-29%29.zip/
/apple1/Demo/	mame_libretro apple1 -cass		https://archive.org/download/tosec-main/Apple/1/Demos/Apple%201%20-%20Demos%20%28TOSEC-v2023-08-29%29.zip/
/apple1/MAME/	mame_libretro apple1 -cass		https://archive.org/download/mame-sl/mame-sl/apple1.zip/apple1/
/apple2/Compilations/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Compilations/Games/Homemade/Apple%20II%20-%20Compilations%20-%20Games%20-%20Homemade%20%28TOSEC-v2024-07-03%29.zip/
/apple2/Educational/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Compilations/Educational/%5BA2R%5D/Apple%20II%20-%20Compilations%20-%20Educational%20-%20%5BA2R%5D%20%28TOSEC-v2024-01-15%29.zip/
/apple2/Applications/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Applications/%5B2MG%5D/Apple%20II%20-%20Applications%20-%20%5B2MG%5D%20%28TOSEC-v2025-01-15%29.zip/
/apple2/Edu Comp [DSK]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Compilations/Educational/%5BDSK%5D/Apple%20II%20-%20Compilations%20-%20Educational%20-%20%5BDSK%5D%20%28TOSEC-v2024-01-15%29.zip/
/apple2/Edu Comp [EDD]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Compilations/Educational/%5BEDD%5D/Apple%20II%20-%20Compilations%20-%20Educational%20-%20%5BEDD%5D%20%28TOSEC-v2023-06-14%29.zip/
